"store_id","store_name","store_city","store_location","product_id","product_name","product_category","product_cost","product_price","stock_on_hand","inventory_status","previous_units_sold","recent_units_sold","average_daily_units","days_of_stock_coverage","demand_change_percent","unit_margin","estimated_recent_revenue","estimated_recent_gross_profit","inventory_value_at_cost"
43,"Maven Toys Durango 1","Durango","Downtown",6,"Colorbuds","Electronics",6.99,14.99,18,"positive_stock",327,218,2.42,7.4,-33.3,8.00,3267.82,1744.00,125.82
44,"Maven Toys Puebla 3","Puebla","Residential",6,"Colorbuds","Electronics",6.99,14.99,2,"positive_stock",391,314,3.49,0.6,-19.7,8.00,4706.86,2512.00,13.98
45,"Maven Toys Ciudad de Mexico 4","Ciudad de Mexico","Commercial",6,"Colorbuds","Electronics",6.99,14.99,8,"positive_stock",404,222,2.47,3.2,-45.0,8.00,3327.78,1776.00,55.92
46,"Maven Toys Guadalajara 4","Guadalajara","Downtown",6,"Colorbuds","Electronics",6.99,14.99,65,"positive_stock",492,438,4.87,13.4,-11.0,8.00,6565.62,3504.00,454.35
47,"Maven Toys Monterrey 4","Monterrey","Commercial",6,"Colorbuds","Electronics",6.99,14.99,11,"positive_stock",123,105,1.17,9.4,-14.6,8.00,1573.95,840.00,76.89
48,"Maven Toys Saltillo 2","Saltillo","Commercial",6,"Colorbuds","Electronics",6.99,14.99,6,"positive_stock",208,248,2.76,2.2,19.2,8.00,3717.52,1984.00,41.94
49,"Maven Toys Culiacan 1","Culiacan","Downtown",6,"Colorbuds","Electronics",6.99,14.99,23,"positive_stock",59,128,1.42,16.2,116.9,8.00,1918.72,1024.00,160.77
50,"Maven Toys Guanajuato 3","Guanajuato","Residential",6,"Colorbuds","Electronics",6.99,14.99,27,"positive_stock",21,88,0.98,27.6,319.0,8.00,1319.12,704.00,188.73
1,"Maven Toys Guadalajara 1","Guadalajara","Residential",7,"Dart Gun","Sports & Outdoors",11.99,15.99,5,"positive_stock",52,49,0.54,9.2,-5.8,4.00,783.51,196.00,59.95
2,"Maven Toys Monterrey 1","Monterrey","Residential",7,"Dart Gun","Sports & Outdoors",11.99,15.99,14,"positive_stock",41,49,0.54,25.7,19.5,4.00,783.51,196.00,167.86
3,"Maven Toys Guadalajara 2","Guadalajara","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,8,"positive_stock",65,53,0.59,13.6,-18.5,4.00,847.47,212.00,95.92
4,"Maven Toys Saltillo 1","Saltillo","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,9,"positive_stock",100,73,0.81,11.1,-27.0,4.00,1167.27,292.00,107.91
5,"Maven Toys La Paz 1","La Paz","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,30,"positive_stock",32,71,0.79,38.0,121.9,4.00,1135.29,284.00,359.70
6,"Maven Toys Mexicali 1","Mexicali","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,18,"positive_stock",8,0,0.00,NULL,-100.0,4.00,0.00,0.00,215.82
7,"Maven Toys Monterrey 2","Monterrey","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,1,"positive_stock",86,153,1.70,0.6,77.9,4.00,2446.47,612.00,11.99
8,"Maven Toys Pachuca 1","Pachuca","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,8,"positive_stock",12,90,1.00,8.0,650.0,4.00,1439.10,360.00,95.92
9,"Maven Toys Ciudad de Mexico 1","Ciudad de Mexico","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,22,"positive_stock",192,82,0.91,24.1,-57.3,4.00,1311.18,328.00,263.78
10,"Maven Toys Campeche 1","Campeche","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,13,"positive_stock",53,47,0.52,24.9,-11.3,4.00,751.53,188.00,155.87
11,"Maven Toys Cuernavaca 1","Cuernavaca","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,19,"positive_stock",69,75,0.83,22.8,8.7,4.00,1199.25,300.00,227.81
12,"Maven Toys Chetumal 1","Chetumal","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,11,"positive_stock",54,68,0.76,14.6,25.9,4.00,1087.32,272.00,131.89
13,"Maven Toys Mexicali 2","Mexicali","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,16,"positive_stock",15,33,0.37,43.6,120.0,4.00,527.67,132.00,191.84
14,"Maven Toys Guanajuato 1","Guanajuato","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,13,"positive_stock",113,52,0.58,22.5,-54.0,4.00,831.48,208.00,155.87
15,"Maven Toys Tuxtla Gutierrez 1","Tuxtla Gutierrez","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,10,"positive_stock",0,78,0.87,11.5,NULL,4.00,1247.22,312.00,119.90
16,"Maven Toys San Luis Potosi 1","San Luis Potosi","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,19,"positive_stock",43,97,1.08,17.6,125.6,4.00,1551.03,388.00,227.81
17,"Maven Toys Toluca 1","Toluca","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,20,"positive_stock",98,85,0.94,21.2,-13.3,4.00,1359.15,340.00,239.80
18,"Maven Toys Merida 1","Merida","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,16,"positive_stock",100,44,0.49,32.7,-56.0,4.00,703.56,176.00,191.84
19,"Maven Toys Puebla 1","Puebla","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,16,"positive_stock",79,123,1.37,11.7,55.7,4.00,1966.77,492.00,191.84
20,"Maven Toys Zacatecas 1","Zacatecas","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,9,"positive_stock",65,80,0.89,10.1,23.1,4.00,1279.20,320.00,107.91
21,"Maven Toys Santiago 1","Santiago","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,8,"positive_stock",28,37,0.41,19.5,32.1,4.00,591.63,148.00,95.92
22,"Maven Toys Guanajuato 2","Guanajuato","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,30,"positive_stock",73,29,0.32,93.1,-60.3,4.00,463.71,116.00,359.70
23,"Maven Toys Chihuahua 1","Chihuahua","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,11,"positive_stock",38,53,0.59,18.7,39.5,4.00,847.47,212.00,131.89
24,"Maven Toys Aguascalientes 1","Aguascalientes","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,15,"positive_stock",48,31,0.34,43.5,-35.4,4.00,495.69,124.00,179.85
25,"Maven Toys Ciudad Victoria 1","Ciudad Victoria","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,7,"positive_stock",69,51,0.57,12.4,-26.1,4.00,815.49,204.00,83.93
26,"Maven Toys Campeche 2","Campeche","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,16,"positive_stock",44,30,0.33,48.0,-31.8,4.00,479.70,120.00,191.84
27,"Maven Toys Oaxaca 1","Oaxaca","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,22,"positive_stock",29,12,0.13,165.0,-58.6,4.00,191.88,48.00,263.78
28,"Maven Toys Puebla 2","Puebla","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,10,"positive_stock",38,23,0.26,39.1,-39.5,4.00,367.77,92.00,119.90
29,"Maven Toys Xalapa 1","Xalapa","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,10,"positive_stock",122,46,0.51,19.6,-62.3,4.00,735.54,184.00,119.90
30,"Maven Toys Guadalajara 3","Guadalajara","Airport",7,"Dart Gun","Sports & Outdoors",11.99,15.99,13,"positive_stock",184,94,1.04,12.4,-48.9,4.00,1503.06,376.00,155.87
31,"Maven Toys Ciudad de Mexico 2","Ciudad de Mexico","Airport",7,"Dart Gun","Sports & Outdoors",11.99,15.99,18,"positive_stock",76,127,1.41,12.8,67.1,4.00,2030.73,508.00,215.82
32,"Maven Toys Hermosillo 1","Hermosillo","Residential",7,"Dart Gun","Sports & Outdoors",11.99,15.99,18,"positive_stock",60,121,1.34,13.4,101.7,4.00,1934.79,484.00,215.82
33,"Maven Toys Monterrey 3","Monterrey","Airport",7,"Dart Gun","Sports & Outdoors",11.99,15.99,4,"positive_stock",52,14,0.16,25.7,-73.1,4.00,223.86,56.00,47.96
34,"Maven Toys Villahermosa 1","Villahermosa","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,5,"positive_stock",77,53,0.59,8.5,-31.2,4.00,847.47,212.00,59.95
35,"Maven Toys Chilpancingo 1","Chilpancingo","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,10,"positive_stock",25,66,0.73,13.6,164.0,4.00,1055.34,264.00,119.90
36,"Maven Toys Morelia 1","Morelia","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,15,"positive_stock",54,7,0.08,192.9,-87.0,4.00,111.93,28.00,179.85
37,"Maven Toys Ciudad de Mexico 3","Ciudad de Mexico","Residential",7,"Dart Gun","Sports & Outdoors",11.99,15.99,16,"positive_stock",74,59,0.66,24.4,-20.3,4.00,943.41,236.00,191.84
38,"Maven Toys Chihuahua 2","Chihuahua","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,84,"positive_stock",75,201,2.23,37.6,168.0,4.00,3213.99,804.00,1007.16
39,"Maven Toys Xalapa 2","Xalapa","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,21,"positive_stock",62,106,1.18,17.8,71.0,4.00,1694.94,424.00,251.79
40,"Maven Toys Toluca 2","Toluca","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,4,"positive_stock",43,52,0.58,6.9,20.9,4.00,831.48,208.00,47.96
41,"Maven Toys Hermosillo 2","Hermosillo","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,14,"positive_stock",95,178,1.98,7.1,87.4,4.00,2846.22,712.00,167.86
42,"Maven Toys Hermosillo 3","Hermosillo","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,7,"positive_stock",96,66,0.73,9.5,-31.3,4.00,1055.34,264.00,83.93
43,"Maven Toys Durango 1","Durango","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,25,"positive_stock",65,83,0.92,27.1,27.7,4.00,1327.17,332.00,299.75
44,"Maven Toys Puebla 3","Puebla","Residential",7,"Dart Gun","Sports & Outdoors",11.99,15.99,17,"positive_stock",46,94,1.04,16.3,104.3,4.00,1503.06,376.00,203.83
45,"Maven Toys Ciudad de Mexico 4","Ciudad de Mexico","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,15,"positive_stock",92,77,0.86,17.5,-16.3,4.00,1231.23,308.00,179.85
46,"Maven Toys Guadalajara 4","Guadalajara","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,15,"positive_stock",8,36,0.40,37.5,350.0,4.00,575.64,144.00,179.85
47,"Maven Toys Monterrey 4","Monterrey","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,4,"positive_stock",24,62,0.69,5.8,158.3,4.00,991.38,248.00,47.96
48,"Maven Toys Saltillo 2","Saltillo","Commercial",7,"Dart Gun","Sports & Outdoors",11.99,15.99,28,"positive_stock",87,57,0.63,44.2,-34.5,4.00,911.43,228.00,335.72
49,"Maven Toys Culiacan 1","Culiacan","Downtown",7,"Dart Gun","Sports & Outdoors",11.99,15.99,24,"positive_stock",104,95,1.06,22.7,-8.7,4.00,1519.05,380.00,287.76
50,"Maven Toys Guanajuato 3","Guanajuato","Residential",7,"Dart Gun","Sports & Outdoors",11.99,15.99,13,"positive_stock",66,70,0.78,16.7,6.1,4.00,1119.30,280.00,155.87
1,"Maven Toys Guadalajara 1","Guadalajara","Residential",8,"Deck Of Cards","Games",3.99,6.99,63,"positive_stock",261,288,3.20,19.7,10.3,3.00,2013.12,864.00,251.37
2,"Maven Toys Monterrey 1","Monterrey","Residential",8,"Deck Of Cards","Games",3.99,6.99,76,"positive_stock",157,251,2.79,27.3,59.9,3.00,1754.49,753.00,303.24
3,"Maven Toys Guadalajara 2","Guadalajara","Commercial",8,"Deck Of Cards","Games",3.99,6.99,44,"positive_stock",224,249,2.77,15.9,11.2,3.00,1740.51,747.00,175.56
4,"Maven Toys Saltillo 1","Saltillo","Downtown",8,"Deck Of Cards","Games",3.99,6.99,15,"positive_stock",151,282,3.13,4.8,86.8,3.00,1971.18,846.00,59.85
5,"Maven Toys La Paz 1","La Paz","Downtown",8,"Deck Of Cards","Games",3.99,6.99,27,"positive_stock",345,172,1.91,14.1,-50.1,3.00,1202.28,516.00,107.73
6,"Maven Toys Mexicali 1","Mexicali","Commercial",8,"Deck Of Cards","Games",3.99,6.99,50,"positive_stock",493,331,3.68,13.6,-32.9,3.00,2313.69,993.00,199.50
7,"Maven Toys Monterrey 2","Monterrey","Downtown",8,"Deck Of Cards","Games",3.99,6.99,46,"positive_stock",221,296,3.29,14.0,33.9,3.00,2069.04,888.00,183.54
8,"Maven Toys Pachuca 1","Pachuca","Downtown",8,"Deck Of Cards","Games",3.99,6.99,42,"positive_stock",128,104,1.16,36.3,-18.8,3.00,726.96,312.00,167.58
9,"Maven Toys Ciudad de Mexico 1","Ciudad de Mexico","Downtown",8,"Deck Of Cards","Games",3.99,6.99,29,"positive_stock",346,229,2.54,11.4,-33.8,3.00,1600.71,687.00,115.71
10,"Maven Toys Campeche 1","Campeche","Downtown",8,"Deck Of Cards","Games",3.99,6.99,73,"positive_stock",317,314,3.49,20.9,-0.9,3.00,2194.86,942.00,291.27
11,"Maven Toys Cuernavaca 1","Cuernavaca","Downtown",8,"Deck Of Cards","Games",3.99,6.99,64,"positive_stock",121,102,1.13,56.5,-15.7,3.00,712.98,306.00,255.36
12,"Maven Toys Chetumal 1","Chetumal","Downtown",8,"Deck Of Cards","Games",3.99,6.99,61,"positive_stock",121,117,1.30,46.9,-3.3,3.00,817.83,351.00,243.39
13,"Maven Toys Mexicali 2","Mexicali","Downtown",8,"Deck Of Cards","Games",3.99,6.99,66,"positive_stock",348,228,2.53,26.1,-34.5,3.00,1593.72,684.00,263.34
14,"Maven Toys Guanajuato 1","Guanajuato","Downtown",8,"Deck Of Cards","Games",3.99,6.99,57,"positive_stock",419,228,2.53,22.5,-45.6,3.00,1593.72,684.00,227.43
15,"Maven Toys Tuxtla Gutierrez 1","Tuxtla Gutierrez","Downtown",8,"Deck Of Cards","Games",3.99,6.99,40,"positive_stock",253,211,2.34,17.1,-16.6,3.00,1474.89,633.00,159.60
16,"Maven Toys San Luis Potosi 1","San Luis Potosi","Downtown",8,"Deck Of Cards","Games",3.99,6.99,18,"positive_stock",213,224,2.49,7.2,5.2,3.00,1565.76,672.00,71.82
17,"Maven Toys Toluca 1","Toluca","Downtown",8,"Deck Of Cards","Games",3.99,6.99,20,"positive_stock",158,318,3.53,5.7,101.3,3.00,2222.82,954.00,79.80
18,"Maven Toys Merida 1","Merida","Downtown",8,"Deck Of Cards","Games",3.99,6.99,52,"positive_stock",198,151,1.68,31.0,-23.7,3.00,1055.49,453.00,207.48
19,"Maven Toys Puebla 1","Puebla","Commercial",8,"Deck Of Cards","Games",3.99,6.99,84,"positive_stock",426,456,5.07,16.6,7.0,3.00,3187.44,1368.00,335.16
20,"Maven Toys Zacatecas 1","Zacatecas","Downtown",8,"Deck Of Cards","Games",3.99,6.99,26,"positive_stock",3,18,0.20,130.0,500.0,3.00,125.82,54.00,103.74
21,"Maven Toys Santiago 1","Santiago","Downtown",8,"Deck Of Cards","Games",3.99,6.99,11,"positive_stock",257,198,2.20,5.0,-23.0,3.00,1384.02,594.00,43.89
22,"Maven Toys Guanajuato 2","Guanajuato","Commercial",8,"Deck Of Cards","Games",3.99,6.99,71,"positive_stock",247,201,2.23,31.8,-18.6,3.00,1404.99,603.00,283.29
23,"Maven Toys Chihuahua 1","Chihuahua","Commercial",8,"Deck Of Cards","Games",3.99,6.99,32,"positive_stock",127,171,1.90,16.8,34.6,3.00,1195.29,513.00,127.68
24,"Maven Toys Aguascalientes 1","Aguascalientes","Downtown",8,"Deck Of Cards","Games",3.99,6.99,53,"positive_stock",242,229,2.54,20.8,-5.4,3.00,1600.71,687.00,211.47
25,"Maven Toys Ciudad Victoria 1","Ciudad Victoria","Downtown",8,"Deck Of Cards","Games",3.99,6.99,66,"positive_stock",185,136,1.51,43.7,-26.5,3.00,950.64,408.00,263.34
26,"Maven Toys Campeche 2","Campeche","Commercial",8,"Deck Of Cards","Games",3.99,6.99,22,"positive_stock",178,157,1.74,12.6,-11.8,3.00,1097.43,471.00,87.78
27,"Maven Toys Oaxaca 1","Oaxaca","Downtown",8,"Deck Of Cards","Games",3.99,6.99,12,"positive_stock",161,188,2.09,5.7,16.8,3.00,1314.12,564.00,47.88
28,"Maven Toys Puebla 2","Puebla","Downtown",8,"Deck Of Cards","Games",3.99,6.99,45,"positive_stock",179,77,0.86,52.6,-57.0,3.00,538.23,231.00,179.55
29,"Maven Toys Xalapa 1","Xalapa","Commercial",8,"Deck Of Cards","Games",3.99,6.99,10,"positive_stock",136,193,2.14,4.7,41.9,3.00,1349.07,579.00,39.90
30,"Maven Toys Guadalajara 3","Guadalajara","Airport",8,"Deck Of Cards","Games",3.99,6.99,110,"positive_stock",84,279,3.10,35.5,232.1,3.00,1950.21,837.00,438.90
31,"Maven Toys Ciudad de Mexico 2","Ciudad de Mexico","Airport",8,"Deck Of Cards","Games",3.99,6.99,84,"positive_stock",658,545,6.06,13.9,-17.2,3.00,3809.55,1635.00,335.16
32,"Maven Toys Hermosillo 1","Hermosillo","Residential",8,"Deck Of Cards","Games",3.99,6.99,56,"positive_stock",197,130,1.44,38.8,-34.0,3.00,908.70,390.00,223.44
33,"Maven Toys Monterrey 3","Monterrey","Airport",8,"Deck Of Cards","Games",3.99,6.99,66,"positive_stock",353,369,4.10,16.1,4.5,3.00,2579.31,1107.00,263.34
34,"Maven Toys Villahermosa 1","Villahermosa","Downtown",8,"Deck Of Cards","Games",3.99,6.99,68,"positive_stock",168,112,1.24,54.6,-33.3,3.00,782.88,336.00,271.32
35,"Maven Toys Chilpancingo 1","Chilpancingo","Downtown",8,"Deck Of Cards","Games",3.99,6.99,77,"positive_stock",266,247,2.74,28.1,-7.1,3.00,1726.53,741.00,307.23
36,"Maven Toys Morelia 1","Morelia","Downtown",8,"Deck Of Cards","Games",3.99,6.99,58,"positive_stock",376,286,3.18,18.3,-23.9,3.00,1999.14,858.00,231.42
37,"Maven Toys Ciudad de Mexico 3","Ciudad de Mexico","Residential",8,"Deck Of Cards","Games",3.99,6.99,129,"positive_stock",408,82,0.91,141.6,-79.9,3.00,573.18,246.00,514.71
38,"Maven Toys Chihuahua 2","Chihuahua","Downtown",8,"Deck Of Cards","Games",3.99,6.99,94,"positive_stock",185,267,2.97,31.7,44.3,3.00,1866.33,801.00,375.06
39,"Maven Toys Xalapa 2","Xalapa","Downtown",8,"Deck Of Cards","Games",3.99,6.99,90,"positive_stock",272,185,2.06,43.8,-32.0,3.00,1293.15,555.00,359.10
40,"Maven Toys Toluca 2","Toluca","Commercial",8,"Deck Of Cards","Games",3.99,6.99,61,"positive_stock",180,111,1.23,49.5,-38.3,3.00,775.89,333.00,243.39
41,"Maven Toys Hermosillo 2","Hermosillo","Downtown",8,"Deck Of Cards","Games",3.99,6.99,32,"positive_stock",280,232,2.58,12.4,-17.1,3.00,1621.68,696.00,127.68
42,"Maven Toys Hermosillo 3","Hermosillo","Commercial",8,"Deck Of Cards","Games",3.99,6.99,54,"positive_stock",308,389,4.32,12.5,26.3,3.00,2719.11,1167.00,215.46
43,"Maven Toys Durango 1","Durango","Downtown",8,"Deck Of Cards","Games",3.99,6.99,71,"positive_stock",301,294,3.27,21.7,-2.3,3.00,2055.06,882.00,283.29
44,"Maven Toys Puebla 3","Puebla","Residential",8,"Deck Of Cards","Games",3.99,6.99,33,"positive_stock",193,153,1.70,19.4,-20.7,3.00,1069.47,459.00,131.67
45,"Maven Toys Ciudad de Mexico 4","Ciudad de Mexico","Commercial",8,"Deck Of Cards","Games",3.99,6.99,8,"positive_stock",127,150,1.67,4.8,18.1,3.00,1048.50,450.00,31.92
46,"Maven Toys Guadalajara 4","Guadalajara","Downtown",8,"Deck Of Cards","Games",3.99,6.99,74,"positive_stock",67,139,1.54,47.9,107.5,3.00,971.61,417.00,295.26
47,"Maven Toys Monterrey 4","Monterrey","Commercial",8,"Deck Of Cards","Games",3.99,6.99,70,"positive_stock",138,120,1.33,52.5,-13.0,3.00,838.80,360.00,279.30
48,"Maven Toys Saltillo 2","Saltillo","Commercial",8,"Deck Of Cards","Games",3.99,6.99,100,"positive_stock",121,180,2.00,50.0,48.8,3.00,1258.20,540.00,399.00
49,"Maven Toys Culiacan 1","Culiacan","Downtown",8,"Deck Of Cards","Games",3.99,6.99,77,"positive_stock",30,164,1.82,42.3,446.7,3.00,1146.36,492.00,307.23
50,"Maven Toys Guanajuato 3","Guanajuato","Residential",8,"Deck Of Cards","Games",3.99,6.99,51,"positive_stock",149,110,1.22,41.7,-26.2,3.00,768.90,330.00,203.49
1,"Maven Toys Guadalajara 1","Guadalajara","Residential",9,"Dino Egg","Toys",9.99,10.99,12,"positive_stock",182,148,1.64,7.3,-18.7,1.00,1626.52,148.00,119.88
2,"Maven Toys Monterrey 1","Monterrey","Residential",9,"Dino Egg","Toys",9.99,10.99,0,"confirmed_zero_stock",369,131,1.46,0.0,-64.5,1.00,1439.69,131.00,0.00
3,"Maven Toys Guadalajara 2","Guadalajara","Commercial",9,"Dino Egg","Toys",9.99,10.99,4,"positive_stock",187,226,2.51,1.6,20.9,1.00,2483.74,226.00,39.96
4,"Maven Toys Saltillo 1","Saltillo","Downtown",9,"Dino Egg","Toys",9.99,10.99,27,"positive_stock",224,188,2.09,12.9,-16.1,1.00,2066.12,188.00,269.73
5,"Maven Toys La Paz 1","La Paz","Downtown",9,"Dino Egg","Toys",9.99,10.99,31,"positive_stock",190,107,1.19,26.1,-43.7,1.00,1175.93,107.00,309.69
6,"Maven Toys Mexicali 1","Mexicali","Commercial",9,"Dino Egg","Toys",9.99,10.99,3,"positive_stock",145,89,0.99,3.0,-38.6,1.00,978.11,89.00,29.97
7,"Maven Toys Monterrey 2","Monterrey","Downtown",9,"Dino Egg","Toys",9.99,10.99,0,"confirmed_zero_stock",193,185,2.06,0.0,-4.1,1.00,2033.15,185.00,0.00
8,"Maven Toys Pachuca 1","Pachuca","Downtown",9,"Dino Egg","Toys",9.99,10.99,0,"confirmed_zero_stock",295,278,3.09,0.0,-5.8,1.00,3055.22,278.00,0.00
9,"Maven Toys Ciudad de Mexico 1","Ciudad de Mexico","Downtown",9,"Dino Egg","Toys",9.99,10.99,50,"positive_stock",447,288,3.20,15.6,-35.6,1.00,3165.12,288.00,499.50
10,"Maven Toys Campeche 1","Campeche","Downtown",9,"Dino Egg","Toys",9.99,10.99,10,"positive_stock",145,240,2.67,3.8,65.5,1.00,2637.60,240.00,99.90
11,"Maven Toys Cuernavaca 1","Cuernavaca","Downtown",9,"Dino Egg","Toys",9.99,10.99,13,"positive_stock",258,240,2.67,4.9,-7.0,1.00,2637.60,240.00,129.87
12,"Maven Toys Chetumal 1","Chetumal","Downtown",9,"Dino Egg","Toys",9.99,10.99,14,"positive_stock",167,172,1.91,7.3,3.0,1.00,1890.28,172.00,139.86
13,"Maven Toys Mexicali 2","Mexicali","Downtown",9,"Dino Egg","Toys",9.99,10.99,0,"confirmed_zero_stock",199,182,2.02,0.0,-8.5,1.00,2000.18,182.00,0.00
14,"Maven Toys Guanajuato 1","Guanajuato","Downtown",9,"Dino Egg","Toys",9.99,10.99,10,"positive_stock",189,239,2.66,3.8,26.5,1.00,2626.61,239.00,99.90
15,"Maven Toys Tuxtla Gutierrez 1","Tuxtla Gutierrez","Downtown",9,"Dino Egg","Toys",9.99,10.99,26,"positive_stock",217,218,2.42,10.7,0.5,1.00,2395.82,218.00,259.74
16,"Maven Toys San Luis Potosi 1","San Luis Potosi","Downtown",9,"Dino Egg","Toys",9.99,10.99,8,"positive_stock",224,215,2.39,3.3,-4.0,1.00,2362.85,215.00,79.92
17,"Maven Toys Toluca 1","Toluca","Downtown",9,"Dino Egg","Toys",9.99,10.99,7,"positive_stock",536,191,2.12,3.3,-64.4,1.00,2099.09,191.00,69.93
18,"Maven Toys Merida 1","Merida","Downtown",9,"Dino Egg","Toys",9.99,10.99,50,"positive_stock",150,88,0.98,51.1,-41.3,1.00,967.12,88.00,499.50
19,"Maven Toys Puebla 1","Puebla","Commercial",9,"Dino Egg","Toys",9.99,10.99,8,"positive_stock",188,121,1.34,6.0,-35.6,1.00,1329.79,121.00,79.92
20,"Maven Toys Zacatecas 1","Zacatecas","Downtown",9,"Dino Egg","Toys",9.99,10.99,9,"positive_stock",154,205,2.28,4.0,33.1,1.00,2252.95,205.00,89.91
21,"Maven Toys Santiago 1","Santiago","Downtown",9,"Dino Egg","Toys",9.99,10.99,26,"positive_stock",168,148,1.64,15.8,-11.9,1.00,1626.52,148.00,259.74
22,"Maven Toys Guanajuato 2","Guanajuato","Commercial",9,"Dino Egg","Toys",9.99,10.99,14,"positive_stock",205,146,1.62,8.6,-28.8,1.00,1604.54,146.00,139.86
23,"Maven Toys Chihuahua 1","Chihuahua","Commercial",9,"Dino Egg","Toys",9.99,10.99,9,"positive_stock",199,112,1.24,7.2,-43.7,1.00,1230.88,112.00,89.91
24,"Maven Toys Aguascalientes 1","Aguascalientes","Downtown",9,"Dino Egg","Toys",9.99,10.99,19,"positive_stock",108,202,2.24,8.5,87.0,1.00,2219.98,202.00,189.81
25,"Maven Toys Ciudad Victoria 1","Ciudad Victoria","Downtown",9,"Dino Egg","Toys",9.99,10.99,9,"positive_stock",239,286,3.18,2.8,19.7,1.00,3143.14,286.00,89.91
26,"Maven Toys Campeche 2","Campeche","Commercial",9,"Dino Egg","Toys",9.99,10.99,15,"positive_stock",118,97,1.08,13.9,-17.8,1.00,1066.03,97.00,149.85
27,"Maven Toys Oaxaca 1","Oaxaca","Downtown",9,"Dino Egg","Toys",9.99,10.99,6,"positive_stock",353,304,3.38,1.8,-13.9,1.00,3340.96,304.00,59.94
28,"Maven Toys Puebla 2","Puebla","Downtown",9,"Dino Egg","Toys",9.99,10.99,7,"positive_stock",250,158,1.76,4.0,-36.8,1.00,1736.42,158.00,69.93
29,"Maven Toys Xalapa 1","Xalapa","Commercial",9,"Dino Egg","Toys",9.99,10.99,6,"positive_stock",143,200,2.22,2.7,39.9,1.00,2198.00,200.00,59.94
30,"Maven Toys Guadalajara 3","Guadalajara","Airport",9,"Dino Egg","Toys",9.99,10.99,59,"positive_stock",351,514,5.71,10.3,46.4,1.00,5648.86,514.00,589.41
31,"Maven Toys Ciudad de Mexico 2","Ciudad de Mexico","Airport",9,"Dino Egg","Toys",9.99,10.99,10,"positive_stock",304,203,2.26,4.4,-33.2,1.00,2230.97,203.00,99.90
32,"Maven Toys Hermosillo 1","Hermosillo","Residential",9,"Dino Egg","Toys",9.99,10.99,3,"positive_stock",344,99,1.10,2.7,-71.2,1.00,1088.01,99.00,29.97
33,"Maven Toys Monterrey 3","Monterrey","Airport",9,"Dino Egg","Toys",9.99,10.99,3,"positive_stock",140,200,2.22,1.4,42.9,1.00,2198.00,200.00,29.97
34,"Maven Toys Villahermosa 1","Villahermosa","Downtown",9,"Dino Egg","Toys",9.99,10.99,0,"confirmed_zero_stock",394,258,2.87,0.0,-34.5,1.00,2835.42,258.00,0.00
35,"Maven Toys Chilpancingo 1","Chilpancingo","Downtown",9,"Dino Egg","Toys",9.99,10.99,4,"positive_stock",242,113,1.26,3.2,-53.3,1.00,1241.87,113.00,39.96
